PK,NOMBRE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
6714,Centro Autorizado Elemental de M�sica Tajamar,,  Ense�anza art�stica grado elemental:    Clarinete  Flauta travesera  Percusi�n  Piano  Guitarra  Viola  Viol�n    Modalidad:  presencial ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d82ca4ea6871c010VgnVCM1000000b205a0aRCRD,PIO FELIPE,CALLE,V,12,MADRID,MADRID,28038,NUMANCIA,PUENTE DE VALLECAS,444896,4472241,40.39707299712262,-3.6506093806813373,,,/contenido/entidadesYorganismos/CentrosEnse�anzasArtisticas/ConservatoriosEscuelasMusicaDanza
108359,Centro de Danza Carmen Roche," Metro: Avenida America (l�nea s4, 6, 7, 9), Cartagena (l�nea 7)  Bus: 1, 12, 72, 73, 114, 115, 122, 200  ",  Ense�anza art�stica grado medio:  danza cl�sica - Danza Contempor�nea - Danza Espa�ola   Modalidad:  presencial ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=47eb15a11a81c010VgnVCM1000000b205a0aRCRD,COSLADA,CALLE,V,7,MADRID,MADRID,28028,GUINDALERA,SALAMANCA,442839,4476738,40.43745442601165,-3.6752517217446106,913 610 247 / 913 610 259 ,info@scaena.net,/contenido/entidadesYorganismos/CentrosEnse�anzasArtisticas/ConservatoriosEscuelasMusicaDanza
6108767,Centro de Dise�o IED Madrid," Metro: Santo Domingo (l�nea 2)  Bus: 1, 2, 44, 46, 74, 75, 133, 147, 148 ",  Ense�anza artistica:    Dise�o de moda   Dise�o de interiores  Dise�o gr�fico    Dise�o de producto   ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d235d79d28890310VgnVCM2000000c205a0aRCRD,FLOR ALTA,CALLE,V,8,MADRID,MADRID,28004,UNIVERSIDAD,CENTRO,440123,4475004,40.42164223519264,-3.707121080409964,,info@madrid.ied.es,/contenido/entidadesYorganismos/CentrosEnse�anzasArtisticas/ConservatoriosEscuelasMusicaDanza
124469,Centro de Ense�anza R�plika Teatro. Academia del Actor," Metro: Guzm�n el Bueno  (l�neas 6, 7) 
 Bus: 44, 45, 127, C1, C2, F ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4d86051c8d91f010VgnVCM1000000b205a0aRCRD,PEDRO JUSTO DORADO DELLMANS,CALLE,V,8,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,439716,4478011,40.448692123387005,-3.7122040788250885,915 350 570,teatro@replikateatro.com,/contenido/entidadesYorganismos/Teatros
26472,Centro de Ense�anza Formatik Center,"Bus: 11, 70, 122","  Titulaciones    Estudios tur�sticos y aeron�uticos   Turismo Operativo, Pol�ticas de Marketing + Master en Direcci�n Comercial,  Community Manager   ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0074b3e42751c010VgnVCM2000000c205a0aRCRD,ASURA,CALLE,V,40,MADRID,MADRID,28043,PIOVERA,HORTALEZA,444908,4478510,40.45354836809767,-3.6510240514433443,"913 881 345    
",formatik@formatik.com,/contenido/entidadesYorganismos/CentrosEnse�anzaEspecializada
175206,Centro de Ense�anza Superior de Dise�o de Interiores," Metro: Cartagena (l�nea 7) , Avenida de Am�rica (l�neas 4, 6, 7, 9)  Bus: 1, 72, 114, 115, 122, 200  ",  Ense�anza art�stica:  dise�o de interiores   Modalidad:  diurno  ,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=38ad14c4d661c010VgnVCM1000000b205a0aRCRD,AMERICA,AVENIDA,V,24,MADRID,MADRID,28028,GUINDALERA,SALAMANCA,442951,4476885,40.43877730295762,-3.6739561769387223,913 561 209 / 913 551 072,artesdec@telefonica.net,/contenido/entidadesYorganismos/CentrosEnse�anzasArtisticas/ConservatoriosEscuelasMusicaDanza
6840,Centro de Estudios Econ�micos y Comerciales (CECO),,"  Titulaciones:    M�steres,  MBA   Cursos   Formaci�n a medida para empresas   Formaci�n para empleados p�blicos espa�oles y extrajeros.   ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1fdab0c40971c010VgnVCM1000000b205a0aRCRD,CARDENAL HERRERA ORIA,AVENIDA,V,378,MADRID,MADRID,28035,FUENTELARREINA,FUENCARRAL-EL PARDO,437016,4481070,40.47604810646378,-3.7443340063938693,915 631 815,bgceco@icex.es,/contenido/entidadesYorganismos/CentrosEnse�anzaEspecializada
143961,Centro de Estudios Judeo - Cristianos," Metro: Islas Filipinas (l�nea 7), Moncloa (l�nea 3, 6) 
 Bus: 1, 2, 202, 12, 16, 61, 44, C ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2540ba61e681c010VgnVCM1000000b205a0aRCRD,HILARION ESLAVA,CALLE,V,50,MADRID,MADRID,28015,GAZTAMBIDE,CHAMBERI,439348,4476738,40.43719760597786,-3.7164216832148695,915 431 251 ,secretaria@cejc-madrid.org,/contenido/entidadesYorganismos/CentrosEnse�anzaEspecializada
29395,Centro de Estudios Sociales C�ritas de Madrid," Metro: Pac�fico (l�neas 1 y 6)  Bus: 8, 10, 24, 37, 54, 56, 57, 136, 141, 156, 310 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=505f059cb751c010VgnVCM2000000c205a0aRCRD,CERRO DE LA PLATA,CALLE,V,8,MADRID,MADRID,28007,ADELFAS,RETIRO,442770,4472533,40.39955976120107,-3.6756978307797716,914 163 353,escuela@caritasmadrid.org,/contenido/entidadesYorganismos/CentrosEnse�anzaEspecializada
6651,Centro de Idiomas Alliance Fran�aise de Madrid (Alianza Francesa de Madrid)," Metro: Santo Domingo (l�nea 2), Opera (l�neas R, 2, 5), Callao (l�neas 3, 5), Plaza de Espa�a (l�nea 3)  Bus: 1, 2, 3, 25, 39, 44, 46, 74, 75, 133, 147, 148, 202 ",,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e0ae3b54d771c010VgnVCM1000000b205a0aRCRD,SANTO DOMINGO,CUESTA,V,13,MADRID,MADRID,28013,PALACIO,CENTRO,439974,4474840,40.420145084887835,-3.70886174856488,"917 007 736        
       
              
",secaf@alliancefrancaise.es,/contenido/entidadesYorganismos/CentrosEnse�anzaIdiomas
